epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,194.249,0.78525,0.40139,0.90966,0.98608,0.98997,0.99045,0.81973,0.77841,0.36922,0.89332,0.0009407,0.0009407,0.0009407
109,196.121,0.77229,0.39866,0.90402,0.98507,0.99213,0.99,0.81629,0.78213,0.37937,0.89854,0.0009308,0.0009308,0.0009308
110,197.942,0.78431,0.40584,0.91221,0.98506,0.99137,0.98969,0.81356,0.78526,0.37971,0.89432,0.0009209,0.0009209,0.0009209
111,199.76,0.78305,0.39735,0.89308,0.98749,0.98928,0.99025,0.81046,0.77238,0.37186,0.89032,0.000911,0.000911,0.000911
112,201.677,0.78287,0.40311,0.90345,0.98651,0.98747,0.99048,0.81278,0.7846,0.36891,0.89586,0.0009011,0.0009011,0.0009011
113,203.52,0.77521,0.39807,0.90041,0.98764,0.98496,0.99136,0.81261,0.80148,0.37512,0.89948,0.0008912,0.0008912,0.0008912
114,205.285,0.77719,0.39049,0.90312,0.9863,0.98747,0.99204,0.81626,0.8032,0.37374,0.9014,0.0008813,0.0008813,0.0008813
115,207.121,0.74502,0.38276,0.89731,0.98777,0.98496,0.99185,0.815,0.8024,0.37411,0.90443,0.0008714,0.0008714,0.0008714
116,208.923,0.79159,0.40357,0.88882,0.98994,0.98667,0.9924,0.81555,0.80255,0.37857,0.90164,0.0008615,0.0008615,0.0008615
117,210.705,0.76594,0.39863,0.89849,0.98275,0.98747,0.99231,0.81686,0.80086,0.37559,0.89627,0.0008516,0.0008516,0.0008516
118,212.416,0.76736,0.39226,0.8909,0.99103,0.97995,0.9909,0.81359,0.80712,0.37536,0.90271,0.0008417,0.0008417,0.0008417
119,214.16,0.75889,0.38895,0.89247,0.98741,0.98303,0.99003,0.81831,0.78963,0.37502,0.89867,0.0008318,0.0008318,0.0008318
120,215.869,0.76277,0.38528,0.90793,0.98991,0.98395,0.98982,0.82051,0.79043,0.3751,0.89545,0.0008219,0.0008219,0.0008219
121,217.657,0.77518,0.39765,0.9074,0.98857,0.98246,0.98997,0.81656,0.78802,0.37717,0.89576,0.000812,0.000812,0.000812
122,219.461,0.76263,0.38571,0.90387,0.98991,0.98332,0.98984,0.81936,0.787,0.37912,0.89937,0.0008021,0.0008021,0.0008021
123,221.208,0.75713,0.3798,0.89166,0.98586,0.98496,0.98973,0.81507,0.78673,0.37987,0.89967,0.0007922,0.0007922,0.0007922
124,222.9,0.77625,0.40229,0.88107,0.98661,0.98496,0.9895,0.81696,0.78547,0.38034,0.89714,0.0007823,0.0007823,0.0007823
125,224.628,0.79657,0.40035,0.90061,0.9879,0.98246,0.99001,0.8158,0.7839,0.36864,0.9005,0.0007724,0.0007724,0.0007724
126,226.458,0.75528,0.3876,0.90851,0.98744,0.98483,0.99046,0.81482,0.78882,0.3715,0.89832,0.0007625,0.0007625,0.0007625
127,228.14,0.76901,0.39135,0.87245,0.98724,0.98246,0.99052,0.8154,0.79199,0.37845,0.89741,0.0007526,0.0007526,0.0007526
128,229.917,0.78342,0.39358,0.90005,0.98737,0.97991,0.98955,0.81328,0.79224,0.3789,0.9017,0.0007427,0.0007427,0.0007427
129,231.668,0.77906,0.39725,0.89435,0.9874,0.98186,0.99073,0.81171,0.80284,0.37707,0.90283,0.0007328,0.0007328,0.0007328
130,233.362,0.78433,0.40036,0.89667,0.98806,0.97995,0.99115,0.8119,0.79208,0.37236,0.89801,0.0007229,0.0007229,0.0007229
131,235.178,0.78717,0.39574,0.90881,0.98989,0.98193,0.99179,0.81071,0.80981,0.37306,0.90347,0.000713,0.000713,0.000713
132,236.919,0.74437,0.37071,0.89358,0.98991,0.98346,0.99217,0.80791,0.79532,0.36653,0.89847,0.0007031,0.0007031,0.0007031
133,238.646,0.78964,0.40131,0.88027,0.98825,0.98246,0.9924,0.81293,0.8087,0.37231,0.89739,0.0006932,0.0006932,0.0006932
134,240.342,0.78321,0.40021,0.88866,0.98257,0.98914,0.99204,0.81153,0.80934,0.3745,0.89847,0.0006833,0.0006833,0.0006833
135,242.047,0.75172,0.38273,0.89107,0.98827,0.98496,0.99113,0.81343,0.80189,0.36332,0.90878,0.0006734,0.0006734,0.0006734
136,243.741,0.73875,0.36807,0.89271,0.98875,0.98496,0.99073,0.81751,0.78513,0.35755,0.90359,0.0006635,0.0006635,0.0006635
137,245.507,0.74758,0.37622,0.90143,0.98742,0.98359,0.99155,0.81647,0.78347,0.36558,0.89751,0.0006536,0.0006536,0.0006536
138,247.308,0.75043,0.3739,0.89789,0.98743,0.9846,0.99166,0.81741,0.77844,0.36475,0.8947,0.0006437,0.0006437,0.0006437
139,249.01,0.73788,0.36981,0.8875,0.98494,0.98319,0.98987,0.81659,0.77929,0.3529,0.89614,0.0006338,0.0006338,0.0006338
140,250.695,0.73415,0.36827,0.88939,0.98494,0.98347,0.98987,0.81801,0.77642,0.35886,0.89415,0.0006239,0.0006239,0.0006239
141,252.475,0.72749,0.3684,0.88833,0.98741,0.9832,0.98952,0.81949,0.77609,0.36162,0.89292,0.000614,0.000614,0.000614
142,254.206,0.733,0.36232,0.88662,0.98992,0.98472,0.99061,0.8192,0.78163,0.35995,0.89371,0.0006041,0.0006041,0.0006041
143,255.957,0.73816,0.36999,0.89101,0.98841,0.98246,0.99082,0.81677,0.78667,0.36142,0.897,0.0005942,0.0005942,0.0005942
144,257.663,0.75813,0.38157,0.88259,0.98736,0.97867,0.9908,0.812,0.79277,0.36546,0.89661,0.0005843,0.0005843,0.0005843
145,259.38,0.73983,0.36874,0.8975,0.98006,0.98553,0.98945,0.81341,0.79476,0.36042,0.89846,0.0005744,0.0005744,0.0005744
146,261.124,0.71019,0.35683,0.88977,0.98013,0.98921,0.98816,0.8129,0.78633,0.35227,0.89675,0.0005645,0.0005645,0.0005645
147,262.943,0.75127,0.37142,0.89717,0.97938,0.98997,0.98825,0.8174,0.78999,0.35787,0.90023,0.0005546,0.0005546,0.0005546
148,264.713,0.71603,0.35917,0.90576,0.98019,0.99215,0.98875,0.81983,0.77759,0.3585,0.89582,0.0005447,0.0005447,0.0005447
149,266.408,0.73172,0.36309,0.88741,0.98019,0.99208,0.99002,0.81972,0.77011,0.35,0.89658,0.0005348,0.0005348,0.0005348
150,268.189,0.75837,0.36967,0.88894,0.98647,0.98496,0.99085,0.81653,0.77591,0.34787,0.90038,0.0005249,0.0005249,0.0005249
151,269.935,0.72857,0.36178,0.88158,0.98742,0.98382,0.99212,0.81839,0.78056,0.35117,0.90042,0.000515,0.000515,0.000515
152,271.682,0.71243,0.35317,0.8859,0.98518,0.98496,0.99228,0.8197,0.77713,0.35356,0.89599,0.0005051,0.0005051,0.0005051
153,273.559,0.72083,0.3543,0.88892,0.98677,0.98496,0.99089,0.8193,0.78252,0.35728,0.90063,0.0004952,0.0004952,0.0004952
154,275.31,0.71035,0.35089,0.87891,0.98687,0.98496,0.99047,0.8159,0.78581,0.35396,0.90233,0.0004853,0.0004853,0.0004853
155,277.067,0.71573,0.35628,0.87782,0.98862,0.98246,0.99053,0.81735,0.78001,0.35385,0.89369,0.0004754,0.0004754,0.0004754
156,278.865,0.73848,0.36054,0.88716,0.9882,0.98246,0.99051,0.81769,0.78074,0.3542,0.89372,0.0004655,0.0004655,0.0004655
157,280.648,0.73818,0.35674,0.88217,0.98599,0.98246,0.99078,0.81635,0.78873,0.34837,0.90084,0.0004556,0.0004556,0.0004556
158,282.404,0.7257,0.35571,0.89219,0.9853,0.98246,0.99104,0.81829,0.78261,0.34548,0.89583,0.0004457,0.0004457,0.0004457
159,284.182,0.72693,0.35146,0.88336,0.9817,0.98496,0.99118,0.81688,0.78586,0.34898,0.89291,0.0004358,0.0004358,0.0004358
160,285.95,0.72136,0.34823,0.89789,0.98009,0.98698,0.99139,0.82058,0.78039,0.34719,0.89348,0.0004259,0.0004259,0.0004259
161,287.726,0.71383,0.34999,0.88206,0.98013,0.98922,0.9918,0.82057,0.78196,0.34404,0.89739,0.000416,0.000416,0.000416
162,289.616,0.71117,0.34211,0.89865,0.98496,0.98465,0.99192,0.82108,0.77139,0.34534,0.8945,0.0004061,0.0004061,0.0004061
163,291.45,0.71266,0.3515,0.88659,0.9887,0.98496,0.99192,0.81705,0.78306,0.34404,0.89428,0.0003962,0.0003962,0.0003962
164,293.178,0.72903,0.35339,0.88847,0.99242,0.98467,0.99183,0.81342,0.79742,0.34562,0.8986,0.0003863,0.0003863,0.0003863
165,294.916,0.77144,0.37878,0.87413,0.98994,0.98627,0.99213,0.81416,0.78659,0.34489,0.89882,0.0003764,0.0003764,0.0003764
166,296.697,0.72851,0.35581,0.89047,0.98671,0.98747,0.99192,0.81623,0.78025,0.34723,0.89525,0.0003665,0.0003665,0.0003665
167,298.447,0.71606,0.35786,0.8784,0.98745,0.98496,0.99136,0.81705,0.7803,0.34517,0.89164,0.0003566,0.0003566,0.0003566
168,300.267,0.70474,0.34276,0.88895,0.98847,0.98496,0.99163,0.81581,0.77983,0.34473,0.89172,0.0003467,0.0003467,0.0003467
169,302.056,0.71614,0.35314,0.87771,0.98877,0.98496,0.99222,0.81314,0.78119,0.34436,0.89569,0.0003368,0.0003368,0.0003368
170,303.812,0.6921,0.33741,0.88345,0.98831,0.98496,0.99219,0.8171,0.77478,0.34495,0.89264,0.0003269,0.0003269,0.0003269
171,305.626,0.69815,0.34198,0.87779,0.98896,0.98496,0.99208,0.81767,0.78011,0.34285,0.89407,0.000317,0.000317,0.000317
172,307.401,0.69204,0.34511,0.88342,0.98974,0.98496,0.99174,0.81788,0.77994,0.34266,0.8938,0.0003071,0.0003071,0.0003071
173,309.139,0.69835,0.33903,0.8878,0.98989,0.98115,0.99094,0.81446,0.78606,0.34446,0.89515,0.0002972,0.0002972,0.0002972
174,310.903,0.71421,0.34975,0.88303,0.98877,0.98246,0.99094,0.81574,0.78505,0.34691,0.89333,0.0002873,0.0002873,0.0002873
175,312.695,0.68652,0.33682,0.87611,0.98837,0.97744,0.99149,0.82047,0.77922,0.34449,0.89301,0.0002774,0.0002774,0.0002774
176,314.53,0.71374,0.34183,0.88242,0.98891,0.97995,0.99165,0.81873,0.78027,0.34254,0.89526,0.0002675,0.0002675,0.0002675
177,316.385,0.69319,0.34148,0.89771,0.98988,0.98085,0.99098,0.81835,0.7845,0.33932,0.89556,0.0002576,0.0002576,0.0002576
178,318.161,0.70647,0.353,0.87926,0.98712,0.98246,0.99117,0.81287,0.78623,0.3372,0.89464,0.0002477,0.0002477,0.0002477
179,319.99,0.68371,0.32556,0.8905,0.98743,0.98406,0.99082,0.81708,0.78216,0.33868,0.89411,0.0002378,0.0002378,0.0002378
180,321.763,0.68212,0.33389,0.86984,0.98555,0.97995,0.99081,0.82466,0.7726,0.33771,0.89132,0.0002279,0.0002279,0.0002279
181,323.553,0.68955,0.33385,0.87445,0.98393,0.98496,0.99074,0.82052,0.77685,0.33761,0.89275,0.000218,0.000218,0.000218
182,325.416,0.69486,0.33366,0.88507,0.98366,0.98496,0.99072,0.82234,0.77484,0.33624,0.89147,0.0002081,0.0002081,0.0002081
183,327.212,0.71193,0.34778,0.87168,0.99236,0.97688,0.9906,0.81966,0.77171,0.33661,0.89013,0.0001982,0.0001982,0.0001982
